ID_DIRECCION,ID_TIPO_VIA,NOMBRE_VIA_DIRECCION,ID_PREFIJO_1_1,NUMERO_VIA_GENERADORA_DIRECCION,ID_PREFIJO_1_2,NUMERO_PLACA_DIRECCION,DATO_COMPLEMENTARIO_DIRECCION,ID_CONTRATO,ID_CIUDAD,ID_DEPARTAMENTO,LONGITUD_DIRECCION,LATITUD_DIRECCION,ID_PREFIJO_2_1,ID_PREFIJO_2_2,ESTRATO,ID_COMPLEMENTO,DIRECCION_COMPLETA,DEPARTAMENTO,CIUDAD
290151,CL,27,C,63,A,18,EDIFICIO KORONA DEL SOL,NULL,68001,68,0,0,NULL,NULL,NULL,ED,"CALLE 27 C A 63 18 EDIFICIO KORONA DEL SOL,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290152,CL,28,NULL,30,NULL,144,,NULL,68001,68,0,0,NULL,NULL,NULL,NULL,"CALLE 28 30 144 ,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290153,KR,11,A,20,NULL,112,,NULL,68077,68,0,0,NULL,NULL,NULL,NULL,"CARRERA 11 A 20 112 ,BARBOSA,SANTANDER",SANTANDER,BARBOSA
290154,KR,33,C,35,B,13,EDIFICIO JULIO FLOREZ,NULL,68001,68,0,0,C,B,NULL,ED,"CARRERA 33 C B 35 C B 13 EDIFICIO JULIO FLOREZ,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290155,CL,31,BIS,24,BIS,36,CONJUNTO LAS BRISAS PARQUE,NULL,68276,68,0,0,BIS,BIS,NULL,NULL,"CALLE 31 BIS BIS 24 BIS BIS 36 CONJUNTO LAS BRISAS PARQUE,FLORIDABLANCA,SANTANDER",SANTANDER,FLORIDABLANCA
290156,CL,7,ESTE,7,ESTE,56,CONJUNTO RESIDENCIAL ARANZOQUE REAL,NULL,68276,68,0,0,ESTE,ESTE,NULL,NULL,"CALLE 7 ESTE ESTE 7 ESTE ESTE 56 CONJUNTO RESIDENCIAL ARANZOQUE REAL,FLORIDABLANCA,SANTANDER",SANTANDER,FLORIDABLANCA
290157,CL,5,B,13,A,35,CONJUNTO RESIDENCIAL ALTAMIRA UNO,NULL,68276,68,0,0,B,A,NULL,NULL,"CALLE 5 B A 13 B A 35 CONJUNTO RESIDENCIAL ALTAMIRA UNO,FLORIDABLANCA,SANTANDER",SANTANDER,FLORIDABLANCA
290158,KR,8,NULL,154,NULL,26,NULL,NULL,68276,68,0,0,NULL,NULL,NULL,NULL,"CARRERA 8 154 26,FLORIDABLANCA,SANTANDER",SANTANDER,FLORIDABLANCA
290159,CL,30,BIS,23,BIS,120,NULL,NULL,68001,68,0,0,BIS,BIS,NULL,OF,"CALLE 30 BIS BIS 23 BIS BIS 120,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290160,KR,29,BIS,45,BIS,45,CARRERA 29 NO 45-45 OFC 1103,NULL,68001,68,0,0,BIS,BIS,NULL,OF,"CARRERA 29 BIS BIS 45 BIS BIS 45,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290161,KR,29,BIS,45,C,45,CARRERA 29 NO 45-45 OFC 1103 ED METROPOLITAN,NULL,68001,68,0,0,BIS,C,NULL,OF,"CARRERA 29 BIS C 45 BIS C 45,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290162,KR,25,BIS,85,BIS,20,CONSORCIO VIAL PUERTA DEL SOL,NULL,68001,68,0,0,NULL,NULL,NULL,OF,"CARRERA 25 BIS BIS 85 20 CONSORCIO VIAL PUERTA DEL SOL,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290163,KR,29,ESTE,45,ESTE,1103,CARRERA 29 NO 45 OFC 1103,NULL,68001,68,0,0,B,ESTE,NULL,OF,"CARRERA 29 ESTE ESTE 45 B ESTE 1103,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290164,KR,26,ESTE,34,ESTE,38,EDIFICIO CONDOMINIO FUERTEVENTURA,NULL,68001,68,0,0,ESTE,ESTE,NULL,ED,"CARRERA 26 ESTE ESTE 34 ESTE ESTE 38 EDIFICIO CONDOMINIO FUERTEVENTURA,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290165,KR,27a,C,49,C,39,EDIFICIO LÀVICONTY,NULL,68001,68,0,0,NULL,NULL,NULL,ED,"CARRERA 27A C C 49 39 EDIFICIO LÀVICONTY,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290166,CL,37,NULL,35,NULL,3,,NULL,68001,68,0,0,NULL,NULL,NULL,NULL,"CALLE 37 35 3 ,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290167,CL,7,NULL,13,NULL,45,,NULL,68001,68,0,0,NULL,NULL,NULL,NULL,"CALLE 7 13 45 ,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290168,CL,51,C,27,C,14,EDIFICIO MERIDA,NULL,68001,68,0,0,NULL,NULL,NULL,ED,"CALLE 51 C C 27 14 EDIFICIO MERIDA,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290169,KR,27,BIS,48,BIS,98,EDIFICIO MULTIFAMILIAR VALVERDE,NULL,68001,68,0,0,BIS,BIS,NULL,ED,"CARRERA 27 BIS BIS 48 BIS BIS 98 EDIFICIO MULTIFAMILIAR VALVERDE,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
290170,CL,30,BIS,22,BIS,21,EDIFICIO ORQUIDEA CAMPESTRE,NULL,68001,68,0,0,NULL,NULL,NULL,ED,"CALLE 30 BIS BIS 22 21 EDIFICIO ORQUIDEA CAMPESTRE,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
