ID_DIRECCION,ID_TIPO_VIA,NOMBRE_VIA_DIRECCION,ID_PREFIJO_1_1,NUMERO_VIA_GENERADORA_DIRECCION,ID_PREFIJO_1_2,NUMERO_PLACA_DIRECCION,DATO_COMPLEMENTARIO_DIRECCION,ID_CONTRATO,ID_CIUDAD,ID_DEPARTAMENTO,LONGITUD_DIRECCION,LATITUD_DIRECCION,ID_PREFIJO_2_1,ID_PREFIJO_2_2,ESTRATO,ID_COMPLEMENTO,DIRECCION_COMPLETA,DEPARTAMENTO,CIUDAD
26804,CL,93,BIS,18,NULL,85,NULL,152194,11001,11,0,0,NULL,NULL,4,ED,"CALLE 93 BIS # 18 85 EDIFICIO,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26805,CL,93,NULL,19,NULL,25,NULL,5397,11001,11,0,0,NULL,NULL,6,NULL,"CALLE 93 # 19 25,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26806,CL,93,A,19,NULL,39,NULL,184391,11001,11,0,0,NULL,NULL,1,AP,"CALLE 93 A # 19 39 APARTAMENTO,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26807,CL,93,BIS,19,NULL,40,NULL,152054,11001,11,-74.0549679659307,4.679125149424751,NULL,NULL,6,NULL,"CALLE 93 BIS # 19 40,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26808,CL,93,B,19,C,44,NULL,14981,11001,11,0,0,NULL,NULL,6,NULL,"CALLE 93 B C # 19 44,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26809,CL,93,BIS,19,NULL,45,NULL,11620,11001,11,-74.05463540606434,4.6789782364020605,NULL,NULL,5,ED,"CALLE 93 BIS # 19 45 EDIFICIO,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26810,CL,93,BIS,19,NULL,45,NULL,11620,11001,11,-74.05463540606434,4.6789782364020605,NULL,NULL,5,ED,"CALLE 93 BIS # 19 45 EDIFICIO,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26811,CL,93,BIS,19,NULL,50,NULL,5740,11001,11,-74.05382081866264,4.680019608179662,NULL,NULL,4,ED,"CALLE 93 BIS # 19 50 EDIFICIO,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26812,CL,93,NULL,19,B,57,NULL,24750,11001,11,-74.05579948412196,4.678513087225897,NULL,NULL,5,ED,"CALLE 93 B # 19 57 EDIFICIO,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26813,CL,93,NULL,19,B,67,NULL,1274,11001,11,-74.05475080497433,4.678386815095016,NULL,NULL,4,NULL,"CALLE 93 B # 19 67,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26814,CL,93,A,19,NULL,69,NULL,153530,11001,11,0,0,NULL,NULL,6,NULL,"CALLE 93 A # 19 69,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26815,CL,93,BIS,19,NULL,77,NULL,5260,11001,11,0,0,NULL,NULL,1,NULL,"CALLE 93 BIS # 19 77,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26816,CL,93,BIS,19,NULL,82,NULL,2396,11001,11,0,0,NULL,NULL,6,NULL,"CALLE 93 BIS # 19 82,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26817,CL,93,NULL,19,NULL,84,NULL,36950,11001,11,-74.09836292266846,4.717034676378554,NULL,NULL,6,NULL,"CALLE 93 # 19 84,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26818,CL,93,NULL,20,NULL,66,NULL,6881,11001,11,-74.05699671414703,4.678875571108585,NULL,NULL,5,ED,"CALLE 93 # 20 66 EDIFICIO,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26819,CL,93,NULL,28,NULL,60,NULL,34084,66001,66,-75.72482764720917,4.807793306405943,NULL,NULL,6,NULL,"CALLE 93 # 28 60,PEREIRA,RISARALDA",RISARALDA,PEREIRA
26820,CL,93,A,31,NULL,55,NULL,30632,11001,11,0,0,NULL,NULL,5,NULL,"CALLE 93 A # 31 55,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
26821,CL,93,NULL,33,NULL,34,NULL,70765,68001,68,-73.10830693691969,7.097483931393862,NULL,NULL,4,NULL,"CALLE 93 # 33 34,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
26822,CL,93,NULL,33,A,120,NULL,111350,68001,68,-73.10719599947333,7.097665838925565,NULL,NULL,3,CRS,"CALLE 93 A # 33 120 CONJUNTO RESIDENCIAL,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
26823,CL,93,NULL,34,A,34,NULL,49474,68001,68,-73.1057589053944,7.097713066671187,NULL,NULL,4,NULL,"CALLE 93 A # 34 34,BUCARAMANGA,SANTANDER",SANTANDER,BUCARAMANGA
