ID_DIRECCION,ID_TIPO_VIA,NOMBRE_VIA_DIRECCION,ID_PREFIJO_1_1,NUMERO_VIA_GENERADORA_DIRECCION,ID_PREFIJO_1_2,NUMERO_PLACA_DIRECCION,DATO_COMPLEMENTARIO_DIRECCION,ID_CONTRATO,ID_CIUDAD,ID_DEPARTAMENTO,LONGITUD_DIRECCION,LATITUD_DIRECCION,ID_PREFIJO_2_1,ID_PREFIJO_2_2,ESTRATO,ID_COMPLEMENTO,DIRECCION_COMPLETA,DEPARTAMENTO,CIUDAD
1923,AV,9,E,12,NULL,50,NULL,9214,54001,54,0,0,NULL,NULL,1,NULL,"AVENIDA 9 E # 12 50,CÚCUTA,NORTE DE SANTANDER",NORTE DE SANTANDER,CÚCUTA
1924,AV,9,NORTE,12,NULL,67,NULL,93262,76001,76,-76.53602287173271,3.457084383117032,NULL,NULL,5,ED,"AVENIDA 9 NORTE # 12 67 EDIFICIO,CALI,VALLE DEL CAUCA",VALLE DEL CAUCA,CALI
1925,AV,9,NORTE,12,NULL,71,NULL,117299,76001,76,0,0,NULL,NULL,4,NULL,"AVENIDA 9 NORTE # 12 71,CALI,VALLE DEL CAUCA",VALLE DEL CAUCA,CALI
1926,AV,9,NORTE,12,N,75,NULL,18388,76001,76,0,0,NULL,NULL,1,NULL,"AVENIDA 9 NORTE N # 12 75,CALI,VALLE DEL CAUCA",VALLE DEL CAUCA,CALI
1927,AV,9,E,12,NULL,80,NULL,7558,54001,54,0,0,NULL,NULL,3,NULL,"AVENIDA 9 E # 12 80,CÚCUTA,NORTE DE SANTANDER",NORTE DE SANTANDER,CÚCUTA
1928,AV,9,NULL,123,NULL,70,NULL,181599,11001,11,0,0,NULL,NULL,1,NULL,"AVENIDA 9 # 123 70,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
1929,AV,9,NULL,124,NULL,20,NULL,128833,11001,11,-74.03317853808403,4.700678304507956,NULL,NULL,1,NULL,"AVENIDA 9 # 124 20,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
1930,AV,9,NULL,126,NULL,30,NULL,102294,11001,11,-74.03457328677177,4.70322317405664,NULL,NULL,5,NULL,"AVENIDA 9 # 126 30,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
1931,AV,9,NULL,126,B,76,NULL,3364,11001,11,-74.03172970964306,4.701915441886194,NULL,NULL,5,ED,"AVENIDA 9 B # 126 76 EDIFICIO,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
1932,AV,9,NULL,126,B,76,NULL,3364,11001,11,-74.03172970964306,4.701915441886194,NULL,NULL,5,ED,"AVENIDA 9 B # 126 76 EDIFICIO,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
1933,AV,9,NULL,126,B,76,NULL,10394,11001,11,-74.03312301648839,4.702468134164181,NULL,NULL,5,NULL,"AVENIDA 9 B # 126 76,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
1934,AV,9,NULL,126,B,76,NULL,10394,11001,11,-74.03312301648839,4.702468134164181,NULL,NULL,5,NULL,"AVENIDA 9 B # 126 76,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
1935,AV,9,NULL,127,A,6,NULL,150618,11001,11,-74.0329210460186,4.7067517593039865,NULL,NULL,3,NULL,"AVENIDA 9 A # 127 6,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
1936,AV,9,NULL,127,NULL,58,NULL,7668,11001,11,-74.03195142745972,4.704171483099188,NULL,NULL,6,NULL,"AVENIDA 9 # 127 58,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
1937,AV,9,NULL,127,NULL,58,NULL,22438,11001,11,-74.032526493138,4.703907907853996,NULL,NULL,5,OF,"AVENIDA 9 # 127 58 OFICINA,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
1938,AV,9,NULL,127,B,68,NULL,1535,11001,11,0,0,NULL,NULL,5,NULL,"AVENIDA 9 B # 127 68,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
1939,AV,9,N,13,NULL,31,NULL,155458,54001,54,0,0,NULL,NULL,1,NULL,"AVENIDA 9 N # 13 31,CÚCUTA,NORTE DE SANTANDER",NORTE DE SANTANDER,CÚCUTA
1940,AV,9,NULL,134,NULL,1,NULL,1869,11001,11,-74.03353666944531,4.71211580451397,NULL,NULL,NULL,CCL,"AVENIDA 9 # 134 1 CENTRO COMERCIAL,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
1941,AV,9,NULL,134,NULL,1,NULL,2020,11001,11,-74.03366541547803,4.712222730235731,NULL,NULL,NULL,NULL,"AVENIDA 9 # 134 1,BOGOTÁ, D.C.,BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, D.C."
