ID_DIRECCION,ID_TIPO_VIA,NOMBRE_VIA_DIRECCION,ID_PREFIJO_1_1,NUMERO_VIA_GENERADORA_DIRECCION,ID_PREFIJO_1_2,NUMERO_PLACA_DIRECCION,DATO_COMPLEMENTARIO_DIRECCION,ID_CONTRATO,ID_CIUDAD,ID_DEPARTAMENTO,LONGITUD_DIRECCION,LATITUD_DIRECCION,ID_PREFIJO_2_1,ID_PREFIJO_2_2,ESTRATO,ID_COMPLEMENTO,DIRECCION_COMPLETA,DEPARTAMENTO,CIUDAD
111241,CL,9,A,12,NULL,2,ESQUINA BARRIO KENNEDY,NULL,66001,66,0,0,NULL,NULL,NULL,NULL,CALLE 9 A 12 2 ESQUINA BARRIO KENNEDY,RISARALDA,PEREIRA
111242,CL,21,NULL,23,NULL,12,5 MANZANA 8,NULL,66001,66,0,0,NULL,NULL,NULL,CS,CALLE 21 23 12 CASA 5 MANZANA 8,RISARALDA,PEREIRA
111243,AV,AVENIDA DE LAS A MER,O,46,O,5,AVENIDA DE LAS A MERICAS   46,NULL,66001,66,0,0,O,O,NULL,CCL,AVENIDAENIDA AVENIDAENIDAENIDA DE LAS A MER O O 46 O O 5 CENTRO COMERCIAL AVENIDAENIDAENIDA DE LAS A MERICAS 46,RISARALDA,PEREIRA
111244,CL,4,BIS,13,NULL,71,501 TORRE 1,NULL,66001,66,0,0,NULL,NULL,NULL,AP,CALLE 4 BIS 13 71 APARTAMENTO 501 TORRE 1,RISARALDA,PEREIRA
111245,CL,4,BIS,13,NULL,71,101 TORRE 1,NULL,66001,66,0,0,NULL,NULL,NULL,AP,CALLE 4 BIS 13 71 APARTAMENTO 101 TORRE 1,RISARALDA,PEREIRA
111246,KR,20,NULL,11,NULL,124,202,NULL,66001,66,0,0,NULL,NULL,NULL,AP,CARRERA 20 11 124 APARTAMENTO 202,RISARALDA,PEREIRA
111247,CL,17,NULL,19,NULL,230,ALMACENES LA 14,NULL,66001,66,0,0,NULL,NULL,NULL,CCL,CALLE 17 19 230 CENTRO COMERCIAL ALMACENES LA 14,RISARALDA,PEREIRA
111248,VI,5,NULL,33,NULL,25,,NULL,66001,66,0,0,NULL,NULL,NULL,CRS,"VÍA 5 33 25 CONJUNTO RESIDENCIAL ",RISARALDA,PEREIRA
111249,CL,20,NULL,20,NULL,14,120,NULL,66001,66,0,0,NULL,NULL,NULL,AP,CALLE 20 20 14 APARTAMENTO 120,RISARALDA,PEREIRA
111250,CT,FINCA LA ILUSION,NULL,0,NULL,0,SUSC.3373 LP FINCA LA ILUSION SANTA ROSA,NULL,66001,66,0,0,NULL,NULL,NULL,TRR,CARRETERA FINCA LA ILUSION 0 0 TORRE SUSC.3373 LP FINCA LA ILUSION SANTA ROSA,RISARALDA,PEREIRA
111251,KR,30,NULL,93,NULL,50,CONJUNTO RESIDENCIAL BULEVAR DEL BOSQUE P.H,NULL,66001,66,0,0,NULL,NULL,NULL,CRS,CARRERA 30 93 50 CONJUNTO RESIDENCIAL CONJUNTO RESIDENCIAL BULEVAR DEL BOSQUE P.H,RISARALDA,PEREIRA
111252,KR,15,NULL,12,NULL,47,OBRA PAPIRO,NULL,66001,66,0,0,NULL,NULL,NULL,LT,CARRERA 15 12 47 LOTE OBRA PAPIRO,RISARALDA,PEREIRA
111253,AV,30 DE AGOSTO,NULL,93,NULL,41,ALMACEN DE KIA MOTOR,NULL,66001,66,0,0,NULL,NULL,NULL,LC,AVENIDAENIDA 30 DE AGOSTO 93 41 LOCAL ALMACEN DE KIA MOTOR,RISARALDA,PEREIRA
111254,AV,30 DE AGOSTO,NULL,93,NULL,41,ALMACEN KIA MOTOR,NULL,66001,66,0,0,NULL,NULL,NULL,LC,AVENIDAENIDA 30 DE AGOSTO 93 41 LOCAL ALMACEN KIA MOTOR,RISARALDA,PEREIRA
111255,AV,LAS  AMERICAS,NULL,46,NULL,5,,NULL,66001,66,0,0,NULL,NULL,NULL,CCL,"AVENIDAENIDA LAS AMERICAS 46 5 CENTRO COMERCIAL ",RISARALDA,PEREIRA
111256,AV,CIRCUNVALAR,O,11,O,75,,NULL,66001,66,0,0,O,O,NULL,LC,"AVENIDAENIDA CIRCUNVALAR O O 11 O O 75 LOCAL ",RISARALDA,PEREIRA
111257,AV,LAS AMERICAS,NULL,100,NULL,0,EDS MERCASA,NULL,66001,66,0,0,NULL,NULL,NULL,LT,AVENIDAENIDA LAS AMERICAS 100 0 LOTE EDS MERCASA,RISARALDA,PEREIRA
111258,AV,LAS AMERICAS,NULL,46,NULL,5,,NULL,66001,66,0,0,NULL,NULL,NULL,CCL,"AVENIDAENIDA LAS AMERICAS 46 5 CENTRO COMERCIAL ",RISARALDA,PEREIRA
111259,AV,LAS AMERICAS,NULL,46,NULL,5,,NULL,66001,66,0,0,NULL,NULL,NULL,CCL,"AVENIDAENIDA LAS AMERICAS 46 5 CENTRO COMERCIAL ",RISARALDA,PEREIRA
111260,CL,8,NULL,7,NULL,23,,NULL,66001,66,0,0,NULL,NULL,NULL,OF,"CALLE 8 7 23 OFICINA ",RISARALDA,PEREIRA
