ID_DIRECCION,ID_TIPO_VIA,NOMBRE_VIA_DIRECCION,ID_PREFIJO_1_1,NUMERO_VIA_GENERADORA_DIRECCION,ID_PREFIJO_1_2,NUMERO_PLACA_DIRECCION,DATO_COMPLEMENTARIO_DIRECCION,ID_CONTRATO,ID_CIUDAD,ID_DEPARTAMENTO,LONGITUD_DIRECCION,LATITUD_DIRECCION,ID_PREFIJO_2_1,ID_PREFIJO_2_2,ESTRATO,ID_COMPLEMENTO,DIRECCION_COMPLETA,DEPARTAMENTO,CIUDAD
396071,KM,40,NULL,100,NULL,10,Vereda Belen,NULL,05440,05,-75.33784218465576,6.173106399999993,NULL,NULL,NULL,NULL,"KILÓMETRO 40 # 100 10 VEREDA BELEN,MARINILLA,ANTIOQUIA",NULL,NULL
396072,KM,40,NULL,100,NULL,10,belen,NULL,05440,05,-75.3378851,6.1731064,NULL,NULL,NULL,VR,"KILÓMETRO 40 # 100 10 VEREDA BELEN,MARINILLA,ANTIOQUIA",NULL,NULL
396073,KR,9,NULL,113,NULL,52,FINCA LA TALAVERA DE LA REINA,NULL,11001,11,-74.0349174,4.692571,NULL,NULL,NULL,UN,"CARRERA 9 # 113 52 UNIDAD FINCA LA TALAVERA DE LA REINA,BOGOTÁ, D.C.,BOGOTÁ, D.C.",NULL,NULL
396074,VI,ZONA FRANCA,NULL,100,NULL,10,"CHACHAFRUTO BODEGA 16 ",NULL,05615,05,-75.41536217777099,6.157789382500627,NULL,NULL,NULL,VR,"VIA ZONA FRANCA # 100 10 VEREDA CHACHAFRUTO BODEGA 16 ,SABANETA,ANTIOQUIA",NULL,NULL
396075,VI,ZONA FRANCA,NULL,100,NULL,10,"CHACHAFRUTO BODEGA 16 ",NULL,05615,05,-75.41626339999999,6.157170700000015,NULL,NULL,NULL,VR,"VIA ZONA FRANCA # 100 10 VEREDA CHACHAFRUTO BODEGA 16 ,RIONEGRO,ANTIOQUIA",NULL,NULL
396076,VI,ZONA FRANCA,NULL,100,NULL,10,"CHACHAFRUTO BODEGA 16 ",NULL,05615,05,-75.41478282062377,6.157832050232715,NULL,NULL,NULL,VR,"VIA ZONA FRANCA # 100 10 VEREDA CHACHAFRUTO BODEGA 16 ,RIONEGRO,ANTIOQUIA",NULL,NULL
396077,CL,5,A,40,S,127,MAPIRE HACIENDA ROSABLANCA,NULL,50001,50,-73.6398588,4.113681199999999,A,NULL,NULL,CRS,"CALLE 5 A SUR # 40 A 127 CONJUNTO RESIDENCIAL MAPIRE HACIENDA ROSABLANCA,VILLAVICENCIO,META",NULL,NULL
396078,KR,4,NULL,30,NULL,175,PHILIP MORRIS,NULL,05001,05,-75.5299556,6.2362556,NULL,NULL,NULL,VR,"CARRERA 4 # 30 175 VEREDA PHILIP MORRIS,MEDELLÍN,ANTIOQUIA",NULL,NULL
396079,CL,10,NULL,28,NULL,150,"CRUCERO DAPA ",NULL,76892,76,-76.5076541,3.5416674,NULL,NULL,NULL,CCL,"CALLE 10 # 28 150 CENTRO COMERCIAL CRUCERO DAPA ,YUMBO,VALLE DEL CAUCA",NULL,NULL
396081,KR,36,A,53,NULL,86,NULL,237231,11001,11,-74.08144,4.64445,A,NULL,NULL,CRS,"CARRERA 36 A # 53 A 86 CONJUNTO RESIDENCIAL,BOGOTÁ, D.C.,BOGOTÁ, D.C.",NULL,NULL
396082,KR,8,H,173,NULL,48,CONJUNTO RESIDENCIAL EL REDIL DE CASTILLA SUPER LOTE 4,NULL,11001,11,-74.0299723,4.7530585,NULL,NULL,NULL,CRS,"CARRERA 8 H # 173 48 CONJUNTO RESIDENCIAL CONJUNTO RESIDENCIAL EL REDIL DE CASTILLA SUPER LOTE 4,BOGOTÁ, D.C.,BOGOTÁ, D.C.",NULL,NULL
396083,CL,5 CRA,NULL,1,NULL,0,NULL,NULL,76001,76,0,0,NULL,NULL,NULL,NULL,"CALLE 5 CRA # 1 00,CALI,VALLE DEL CAUCA",NULL,NULL
396084,KR,170,NULL,69,NULL,47,1702 TORRE 01 PAR. 57 Y 57A,NULL,11001,11,-74.06487589999999,4.7593195,NULL,NULL,NULL,AP,"CARRERA 170 # 69 47 APARTAMENTO 1702 TORRE 01 PAR. 57 Y 57A,BOGOTÁ, D.C.,BOGOTÁ, D.C.",NULL,NULL
396085,CL,5 CRA 100,VIA,1,NULL,1,BUITRERA,237232,76001,76,0,0,NULL,NULL,NULL,NULL,"CALLE 5 CRA 100 VIA # 1 1 BUITRERA,CALI,VALLE DEL CAUCA",NULL,NULL
396086,CL,95,NULL,71,NULL,45,PARQUE CENTRAL PONTEVEDRA ETAPA 1 P.H.,NULL,11001,11,-74.0831583,4.6950137,NULL,NULL,NULL,CRS,"CALLE 95 # 71 45 CONJUNTO RESIDENCIAL PARQUE CENTRAL PONTEVEDRA ETAPA 1 P.H.,BOGOTÁ, D.C.,BOGOTÁ, D.C.",NULL,NULL
396087,KR,96,A,152,NULL,85,PINAR DE SUBA  AGRUPACION  E APTO 04-401,NULL,11001,11,-74.0856142,4.751060400000001,NULL,NULL,NULL,CRS,"CARRERA 96 A # 152 85 CONJUNTO RESIDENCIAL PINAR DE SUBA  AGRUPACION  E APTO 04-401,BOGOTÁ, D.C.,BOGOTÁ, D.C.",NULL,NULL
396088,CT,7,NULL,39,NULL,45,NULL,NULL,11001,11,-74.0656407,4.6267729,NULL,NULL,NULL,NULL,"CARRETERA 7 # 39 45,BOGOTÁ, D.C.,BOGOTÁ, D.C.",NULL,NULL
396089,CL,6,D,79,NULL,56,"CASTILLA RESERVADO  ",NULL,11001,11,-74.14730109999999,4.6357707,A,NULL,NULL,CRS,"CALLE 6 D # 79 A 56 CONJUNTO RESIDENCIAL CASTILLA RESERVADO  ,BOGOTÁ, D.C.,BOGOTÁ, D.C.",NULL,NULL
396090,CL,94,NULL,72,NULL,87,CONJUNTO RESIDENCIAL ALTORREAL,NULL,11001,11,-74.0861803,4.6988907,A,NULL,NULL,CRS,"CALLE 94 # 72 A 87 CONJUNTO RESIDENCIAL CONJUNTO RESIDENCIAL ALTORREAL,BOGOTÁ, D.C.,BOGOTÁ, D.C.",NULL,NULL
396091,AC,9,NULL,50,NULL,94,NULL,NULL,11001,11,-74.1083355,4.626061,NULL,NULL,NULL,NULL,"AVENIDA CALLE 9 # 50 94,BOGOTÁ, D.C.,BOGOTÁ, D.C.",NULL,NULL
